Card Name,Link
"Galadriel, Elven-Queen",https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander:Foil/Galadriel+Elven-Queen#paper
Arbor Elf,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Arbor+Elf#paper
Elvish Mystic,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Elvish+Mystic#paper
"Haldir, Lorien Lieutenant",https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Haldir+Lorien+Lieutenant#paper
Elvish Visionary,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Elvish+Visionary#paper
Elvish Warmaster,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Elvish+Warmaster#paper
Paradise Druid,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Paradise+Druid#paper
Wose Pathfinder,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Wose+Pathfinder#paper
"Arwen, Weaver of Hope",https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Arwen+Weaver+of+Hope#paper
Elvish Archdruid,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Elvish+Archdruid#paper
Erestor of the Council,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Erestor+of+the+Council#paper
Farhaven Elf,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Farhaven+Elf#paper
Legolas Greenleaf,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Legolas+Greenleaf#paper
Mirkwood Trapper,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Mirkwood+Trapper#paper
Reclamation Sage,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Reclamation+Sage#paper
Wood Elves,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Wood+Elves#paper
Celeborn the Wise,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Celeborn+the+Wise#paper
Elvish Piper,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Elvish+Piper#paper
"Radagast, Wizard of Wilds",https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Radagast+Wizard+of+Wilds#paper
Cirdan the Shipwright,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Cirdan+the+Shipwright#paper
Elrond of the White Council,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Elrond+of+the+White+Council#paper
"Gandalf, Westward Voyager",https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander:Foil/Gandalf+Westward+Voyager#paper
Mirkwood Elk,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Mirkwood+Elk#paper
Realm Seekers,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Realm+Seekers#paper
Colossal Whale,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Colossal+Whale#paper
Hornet Queen,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Hornet+Queen#paper
Elven Farsight,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Elven+Farsight#paper
Opt,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Opt#paper
Preordain,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Preordain#paper
Swan Song,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Swan+Song#paper
Sylvan Offering,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Sylvan+Offering#paper
Growth Spiral,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Growth+Spiral#paper
Heroic Intervention,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Heroic+Intervention#paper
Inscription of Abundance,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Inscription+of+Abundance#paper
Rampant Growth,https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Rampant+Growth#paper
