name,effect,url,"+1/+1","+0/+1","+1/-1","-0/-1","-1/+1","-1/-0","+1/+0","-1/-1","+2/+2","trample","haste","flying","first strike","double strike","deathtouch","lifelink","menance","hex proof","reach","vigilance","indestructable","poison","shield","coin"
"Eowyn, Shieldmaiden","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Eowyn+Shieldmaiden#paper","First strikeAt the beginning of combat on your turn, if another Human entered the battlefield under your control this turn, create two 2/2 red Human Knight creature tokens with trample and haste. Then if you control six or more Humans, draw a card.",0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"Weathered Wayfarer","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Weathered+Wayfarer#paper",", : Search your library for a land card, reveal it, put it into your hand, then shuffle. Activate only if an opponent controls more lands than you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Denethor, Stone Seer","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Denethor+Stone+Seer#paper","When Denethor enters, scry 2. , , Sacrifice Denethor: Target player becomes the monarch. Denethor deals 3 damage to any target.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harsh Mentor","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Harsh+Mentor#paper","Whenever an opponent activates an ability of an artifact, creature, or land on the battlefield, if it isn't a mana ability, this creature deals 2 damage to that player.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Humble Defector","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Humble+Defector#paper",": Draw two cards. Target opponent gains control of this creature. Activate only during your turn.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prince Imrahil the Fair","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth/Prince+Imrahil+the+Fair#paper","Whenever you draw your second card each turn, create a 1/1 white Human Soldier creature token.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Archivist of Gondor","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Archivist+of+Gondor#paper","When your commander deals combat damage to a player, if there is no monarch, you become the monarch.At the beginning of the monarch's end step, that player draws a card.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bastion Protector","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Bastion+Protector#paper","Commander creatures you control get +2/+2 and have indestructible.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Combat Celebrant","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Combat+Celebrant#paper","If this creature hasn't been exerted this turn, you may exert it as it attacks. When you do, untap all other creatures you control and after this phase, there is an additional combat phase. (An exerted creature won't untap during your next untap step.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faramir, Steward of Gondor","https://www.mtggoldfish.com/price/The+Lord+of+the+Rings+Tales+of+Middle+Earth+Commander/Faramir+Steward+of+Gondor#paper","Whenever a legendary creature you control with mana value 4 or greater enters, you become the monarch.At the beginning of your end step, if you're the monarch, create two 1/1 white Human Soldier creature tokens.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
